tweet_id,favorites,retweets,user_followers,user_favourites,date_time
679777920601223168,3021,1062,8877508,145871,2015-12-23 21:37:40+00:00
679736210798047232,2034,762,8877508,145871,2015-12-23 18:51:56+00:00
679729593985699840,2097,798,8877508,145871,2015-12-23 18:25:38+00:00
679722016581222400,1617,453,8877508,145871,2015-12-23 17:55:32+00:00
679530280114372609,4634,2013,8877508,145871,2015-12-23 05:13:38+00:00
679527802031484928,2559,698,8877508,145871,2015-12-23 05:03:47+00:00
679511351870550016,3260,1222,8877508,145871,2015-12-23 03:58:25+00:00
679503373272485890,3081,1415,8877508,145871,2015-12-23 03:26:43+00:00
679475951516934144,2030,618,8877508,145871,2015-12-23 01:37:45+00:00
679462823135686656,30561,18092,8877508,145871,2015-12-23 00:45:35+00:00
679405845277462528,2297,1158,8877508,145871,2015-12-22 20:59:10+00:00
679158373988876288,20616,7745,8877508,145871,2015-12-22 04:35:49+00:00
679148763231985668,2700,992,8877508,145871,2015-12-22 03:57:37+00:00
679132435750195208,2891,1113,8877508,145871,2015-12-22 02:52:45+00:00
679111216690831360,5794,2487,8877508,145871,2015-12-22 01:28:25+00:00
679062614270468097,16405,7747,8877508,145871,2015-12-21 22:15:18+00:00
679047485189439488,2174,637,8877508,145871,2015-12-21 21:15:11+00:00
679001094530465792,2748,1177,8877508,145871,2015-12-21 18:10:50+00:00
678991772295516161,2213,1107,8877508,145871,2015-12-21 17:33:48+00:00
678969228704284672,1582,437,8877508,145871,2015-12-21 16:04:13+00:00
678800283649069056,2487,861,8877508,145871,2015-12-21 04:52:53+00:00
678798276842360832,3348,1111,8877508,145871,2015-12-21 04:44:55+00:00
678774928607469569,2719,868,8877508,145871,2015-12-21 03:12:08+00:00
678767140346941444,3416,1307,8877508,145871,2015-12-21 02:41:11+00:00
678764513869611008,1582,452,8877508,145871,2015-12-21 02:30:45+00:00
678755239630127104,6854,3142,8877508,145871,2015-12-21 01:53:54+00:00
678740035362037760,3626,1592,8877508,145871,2015-12-21 00:53:29+00:00
678708137298427904,5405,2328,8877508,145871,2015-12-20 22:46:44+00:00
678675843183484930,2765,1397,8877508,145871,2015-12-20 20:38:24+00:00
